Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
BOTANICAL SIMPLE MAKING GEL EYELINER 1 BLACK,8806173420803,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,67710,185000,20,VAT10,inclusive,,,,NL8141,,,,,
REAL NATURE OLIVE ESSENCE,8806173426430,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,99573,270000,20,VAT10,inclusive,,,,NL8710,,,,,
REAL NATURE ROSE ESSENCE,8806173426447,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,99573,270000,20,VAT10,inclusive,,,,NL8711,,,,,
BATH & NATURE APPLE MANGO BODY LOTION,8806173427260,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NL8793,,,,,
NATURE ORIGIN CC TINTED SPF30 PA++,8806173421596,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,111521,302000,20,VAT10,inclusive,,,,NL8220,,,,,
SNAIL SOLUTION EYE CREAM(C),8806173434282,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,262871,708000,20,VAT10,inclusive,,,,NK0291,,,,,
HAND & NATURE ACACIA HAND CREAM,8806173436903,code128,Nature Republic,Hand Care,Pcs,Pcs,Pcs,52575,142000,20,VAT10,inclusive,,,,NK0551,,,,,
PURE SHINE LIPSTICK 06 CANDY POP PINK,8806173433308,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,70099,190000,20,VAT10,inclusive,,,,NK0184,,,,,
PURE SHINE LIPSTICK 07 CORAL GELATO,8806173433315,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,70099,190000,20,VAT10,inclusive,,,,NK0185,,,,,
PURE SHINE LIPSTICK 08 ORANGE BONGBONG,8806173433322,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,70099,190000,20,VAT10,inclusive,,,,NK0186,,,,,
BEAUTY TOOL PENCIL SHARPENER®,8806173434114,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,7966,22000,20,VAT10,inclusive,,,,NK0266,,,,,
PROVENCE INTENSIVE AMPOULE MAKE UP BASE 01 MINT SPF30 PA++ ,8806173435197,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,150554,408000,20,VAT10,inclusive,,,,NK0384,,,,,
HAWAIIAN DEEP SEA MILD SCRUB FOAM CLEANSER,8806173434367,code128,Nature Republic,Cleansing,Pcs,Pcs,Pcs,70099,190000,20,VAT10,inclusive,,,,NK0303,,,,,
SNAIL SOLUTION WRINKLE UP SPOT,8806173434930,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,238974,645000,20,VAT10,inclusive,,,,NK0356,,,,,
CALIFORNIA ALOE DAILY SUN BLOCK SPF50+PA++++,8806173440894,code128,Nature Republic,Sun Care,Pcs,Pcs,Pcs,126656,342000,20,VAT10,inclusive,,,,NJ0946,,,,,
CALIFORNIA ALOE WATERPROOF SUN BLOCK SPF50+PA++++,8806173440917,code128,Nature Republic,Sun Care,Pcs,Pcs,Pcs,122674,472000,20,VAT10,inclusive,,,,NJ0948,,,,,
CALIFORNIA ALOE SUN LIQUID SPF50+PA++++,8806173440979,code128,Nature Republic,Sun Care,Pcs,Pcs,Pcs,122674,472000,20,VAT10,inclusive,,,,NJ0954,,,,,
VITAMIN B5 TONER,8806173437863,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,150554,408000,20,VAT10,inclusive,,,,NK0646,,,,,
VITAMIN B5 EMULSION,8806173437870,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,150554,408000,20,VAT10,inclusive,,,,NK0647,,,,,
HAND&NATURE GREENTEA HAND CREAM,8806173437504,code128,Nature Republic,Hand Care,Pcs,Pcs,Pcs,78862,205000,20,VAT10,inclusive,,,,NK0611,,,,,
BOTANICAL CREAM CONCEALER 23 NATURAL BEIGE,8806173439607,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,61337,168000,20,VAT10,inclusive,,,,NK0821,,,,,
SNAIL SOLUTION ESSENCE,8806173433742,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,262871,708000,20,VAT10,inclusive,,,,NK0229,,,,,
HAWAIIAN DEEP SEA LIP&EYE REMOVER,8806173434404,code128,Nature Republic,Cleansing,Pcs,Pcs,Pcs,62930,170000,20,VAT10,inclusive,,,,NK0307,,,,,
HIMALAYA SALT CLEANSING BALM_WHITE SALT,8806173436149,code128,Nature Republic,Cleansing,Pcs,Pcs,Pcs,118691,320000,20,VAT10,inclusive,,,,NK0472,,,,,
SMUDGE PROOF EYELINER 02 DEEP BROWN,8806173433605,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,75433,215000,20,VAT10,inclusive,,,,NK0214,,,,,
PURE SHINE LIPSTICK 12 ORCHID BLOSSOM,8806173436774,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,70099,190000,20,VAT10,inclusive,,,,NK0538,,,,,
