Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
BEAUTY TOOL BATH TOWEL,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,26045,65000,20,VAT10,inclusive,,,,NL9144,,,,,
COCONUT BIO SKIN MULTI PATCH,8.80617E+12,code128,Nature Republic,Patch,Pcs,Pcs,Pcs,7170,18000,50,VAT10,inclusive,,,,NK0012,,,,,
HAWAIIAN DEEP SEA AHA CLEANSING LOTION,8.80617E+12,code128,Nature Republic,Cleansing,Pcs,Pcs,Pcs,86828,235000,20,VAT10,inclusive,,,,NK0306,,,,,
PROVENCE AIR SKIN FIT BLUR PACT SPF30 PA+++,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,102759,278000,20,VAT10,inclusive,,,,NK0363,,,,,
REAL FRESH BLACK TEA NOURISHING MASK,8.80617E+12,code128,Nature Republic,Pack,Pcs,Pcs,Pcs,118691,320000,20,VAT10,inclusive,,,,NK0685,,,,,
REAL NATURE GREEN GRAPE HYDROGEL MASK ,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,15543,42000,50,VAT10,inclusive,,,,NK0578,,,,,
SMUDGE PROOF EYELINER 01 DEEP BLACK,8.80617E+12,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,78862,215000,20,VAT10,inclusive,,,,NK0213,,,,,
REAL SQUEEZE ALOE VERA CREAM,8.80617E+12,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,134622,365000,20,VAT10,inclusive,,,,NL8485,,,,,
AQUA COLLAGEN SOLUTION MARINE HYDROGEL LIP PATCH(R),8.80617E+12,code128,Nature Republic,Patch,Pcs,Pcs,Pcs,19915,55000,50,VAT10,inclusive,,,,NL8586,,,,,
PURE SHINE COVER CONCEALER 01 LIGHT BEIGE,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,43812,118000,20,VAT10,inclusive,,,,NL9207,,,,,
PURE SHINE COVER CONCEALER 02 NATURAL BEIGE,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,43812,118000,20,VAT10,inclusive,,,,NL9208,,,,,
AQUA COLLAGEN SOLUTION HYALURONIC ACID HYDRO GEL MASK,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,35847,98000,50,VAT10,inclusive,,,,NL8502,,,,,
BLACKHEAD CLEAR 3-STEP NOSE PACK,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,15932,42000,100,VAT10,inclusive,,,,NL8565,,,,,
BEAUTY TOOL COCOON SILK BALL(10EA),8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,27456,72000,20,VAT10,inclusive,,,,NK0090,,,,,
REAL NATURE POMEGRANATE HYDROGEL MASK ,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,15543,42000,50,VAT10,inclusive,,,,NK0579,,,,,
ARGAN 20º REAL SQUEEZE AMPOULE,8.80617E+12,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,199145,538000,20,VAT10,inclusive,,,,NL8614,,,,,
BAMBOO CHARCOAL MUD PACK,8.80617E+12,code128,Nature Republic,Pack,Pcs,Pcs,Pcs,52575,142000,50,VAT10,inclusive,,,,NL8421,,,,,
REAL NATURE CUCUMBER MASK SHEET ,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,7577,18000,100,VAT10,inclusive,,,,NM7765,,,,,
SOOTHING & MOISTURE ALOE VERA CLEANSING GEL FOAM ,8.80617E+12,code128,Nature Republic,Cleansing,Pcs,Pcs,Pcs,35050,95000,50,VAT10,inclusive,,,,NK0748,,,,,
FRESH DEODRANT STICK - FLORAL,8.80617E+12,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,61337,168000,20,VAT10,inclusive,,,,NK0169,,,,,
PURE SHINE LIPSTICK 02 CREAM ROSE,8.80617E+12,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,70099,190000,20,VAT10,inclusive,,,,NK0178,,,,,
PROVENCE AIR SKIN FIT BB CREAM 01 LIGHT BEIGE SPF35PA++,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,102759,278000,20,VAT10,inclusive,,,,NK0388,,,,,
REAL NATURE CHAMOMILE HYDROGEL MASK ,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,15543,42000,50,VAT10,inclusive,,,,NK0580,,,,,
INTENSE TOUCH MASCARA,8.80617E+12,code128,Nature Republic,Eye Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NM7685,,,,,
SNAIL SOLUTION RED GINSENG HYDRO GEL MASK,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,39829,108000,50,VAT10,inclusive,,,,NL8509,,,,,
BATH&NATURE PROVENCE PEACH MOUSSE BODY OIL ,8.80617E+12,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,119487,322000,20,VAT10,inclusive,,,,NL8116,,,,,
BOTANICAL GREEN TEA PORE POWDER ,8.80617E+12,code128,Nature Republic,Facial Makeup,Pcs,Pcs,Pcs,63727,172000,20,VAT10,inclusive,,,,NL8224,,,,,
GINSENG ROYAL SILK GOLD MASSAGER,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,572983,1418000,20,VAT10,inclusive,,,,NK0729,,,,,
REAL NATURE GREEN TEE HYDROGEL MASK ,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,15543,42000,50,VAT10,inclusive,,,,NK0582,,,,,
GINSENG ROYAL SILK CAPSULE ESSENCE,8.80617E+12,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,477947,1288000,20,VAT10,inclusive,,,,NK0326,,,,,
SKIN SMOOTHING BODY PEELING MIST-PHYTONCIDE,8.80617E+12,code128,Nature Republic,Body Care,Pcs,Pcs,Pcs,52575,185000,20,VAT10,inclusive,,,,NL8444,,,,,
BLACKHEAD CLEAR  NOSE PACK(7EA),8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,27881,75000,50,VAT10,inclusive,,,,NL8567,,,,,
BEAUTY TOOL NATURAL MILD COTTON WIPE,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,7959,22000,20,VAT10,inclusive,,,,NK0371,,,,,
BEAUTY TOOL PERFECT COVER BRUSH,8.80617E+12,code128,Nature Republic,Beauty tools,Pcs,Pcs,Pcs,72732,215000,20,VAT10,inclusive,,,,NK0382,,,,,
AQUA COLLAGEN SOLUTION MARINE HYDROGEL EYE CREAM MASK,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,23898,65000,50,VAT10,inclusive,,,,NK0048,,,,,
REAL FRESH BROWN SUGAR FACIAL SCRUB MASK,8.80617E+12,code128,Nature Republic,Pack,Pcs,Pcs,Pcs,150554,408000,20,VAT10,inclusive,,,,NK0687,,,,,
BAMBOO CHARCOAL BLACK MASK SHEET,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,23898,65000,50,VAT10,inclusive,,,,NL8500,,,,,
AQUA COLLAGEN SOLUTION MARINE HYDROGEL EYE PATCH(R),8.80617E+12,code128,Nature Republic,Patch,Pcs,Pcs,Pcs,19915,55000,50,VAT10,inclusive,,,,NL8585,,,,,
NATURAL BUTTER LIPBALM 04 MANGO,8.80617E+12,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,54964,150000,20,VAT10,inclusive,,,,NL8269,,,,,
AQUA COLLAGEN SOLUTION MARINE HYDRO GEL MASK,8.80617E+12,code128,Nature Republic,Mask Sheet,Pcs,Pcs,Pcs,35847,98000,50,VAT10,inclusive,,,,NL8501,,,,,
REAL NATURE HONEY ESSENCE,8.80617E+12,code128,Nature Republic,Skin Care,Pcs,Pcs,Pcs,99573,270000,20,VAT10,inclusive,,,,NL8712,,,,,
CREAMY LIPSTICK 07 IT'S MY PINK(R),8.80617E+12,code128,Nature Republic,Lip Makeup,Pcs,Pcs,Pcs,95590,258000,20,VAT10,inclusive,,,,NL8282,,,,,
